name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vijayawada,2024-10-09,89.7,78.8,83.5,105.1,78.8,92.2,77.8,83.7,0.023,100,8.33,rain,0,0,19,11.4,78.2,1009,46,4.9,188.2,16.3,7,60,2024-10-09T05:58:49,2024-10-09T17:50:24,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOBZ,43185099999,43220099999,43182099999,43181099999,remote"
vijayawada,2024-10-10,87.8,78.7,83,102.4,78.7,92,77.8,84.7,0.154,100,12.5,rain,0,0,20.6,9.2,89.2,1008,66.3,5.8,163.5,14,7,60,2024-10-10T05:59:00,2024-10-10T17:49:41,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOBZ,43185099999,43220099999,43182099999,43181099999,remote"
vijayawada,2024-10-11,89.4,77,82.2,104.5,77,89.7,77.5,86.2,0.686,100,20.83,rain,0,0,18.6,10.3,90.7,1008.2,79.7,6.5,94.6,8.1,5,60,2024-10-11T05:59:12,2024-10-11T17:48:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-12,89.4,77.8,81.6,107.7,77.8,89,78.2,89.7,1.162,100,16.67,rain,0,0,16.6,11.4,81.3,1009,61,5.7,185.9,16.1,8,75,2024-10-12T05:59:23,2024-10-12T17:48:16,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-13,91.4,76.7,83.9,107.8,76.7,91.8,77.1,81.3,0.024,100,4.17,rain,0,0,10.3,9.2,84.2,1009,49.7,6.1,260.7,22.5,9,60,2024-10-13T05:59:36,2024-10-13T17:47:34,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-14,87.1,74.9,80.7,97.1,74.9,86,76.5,87.4,0.407,100,29.17,rain,0,0,22.1,10.3,49.3,1008.8,79.1,5.7,115.2,10.1,4,60,2024-10-14T05:59:48,2024-10-14T17:46:53,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-15,89.1,78.6,82.5,102.4,78.6,89.8,77.7,86.1,0.04,100,12.5,rain,0,0,18.6,11.4,64.2,1008.6,75.9,5.7,161.2,14,7,60,2024-10-15T06:00:02,2024-10-15T17:46:13,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-16,91.4,80,83.8,105.1,80,93.1,77.6,82.2,0.054,100,12.5,rain,0,0,27.5,13.9,65.2,1007.2,78,5.9,160.7,13.8,6,75,2024-10-16T06:00:15,2024-10-16T17:45:33,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-17,90.3,79.8,82.9,110.5,79.8,92.4,78.5,87,0.078,100,12.5,rain,0,0,22.4,11.4,64.8,1007.6,70.6,6.7,167.3,14.5,7,75,2024-10-17T06:00:29,2024-10-17T17:44:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-18,88.2,78.8,82.2,105.4,78.8,90.9,78.5,88.8,0.512,100,12.5,rain,0,0,17.9,11.4,70.9,1008,57,5.3,148.8,12.7,6,60,2024-10-18T06:00:44,2024-10-18T17:44:16,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-19,91.4,78.8,82.8,107.8,78.8,90.3,77.7,85.1,0.048,100,12.5,rain,0,0,23,11.4,65.8,1009.2,67.5,5.4,168.8,14.5,6,75,2024-10-19T06:00:59,2024-10-19T17:43:39,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-20,91.4,78.3,83.3,105.3,78.3,91.3,77.5,83.3,0.049,100,16.67,rain,0,0,15.2,9.2,69.9,1010.3,56.3,5.9,161,14,6,75,2024-10-20T06:01:15,2024-10-20T17:43:02,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-21,91.2,76.6,83.3,105.1,76.6,90.5,76.6,80.9,0.235,100,8.33,rain,0,0,9.2,10.3,89.5,1010.4,48.8,6.8,249.4,21.5,9,60,2024-10-21T06:01:31,2024-10-21T17:42:26,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-22,91.4,75.1,82.9,103.1,75.1,89.2,75.1,78.4,0.003,100,4.17,rain,0,0,13.2,8.9,55.6,1009.9,46.3,5.1,217,18.6,8,60,2024-10-22T06:01:47,2024-10-22T17:41:51,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-23,93.2,77,84.3,105,77,90,74.1,73.3,0,0,0,,0,0,17,11.4,326.7,1008.5,54.3,5.7,237.6,20.6,9,10,2024-10-23T06:02:05,2024-10-23T17:41:17,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-24,91.4,74.6,82.9,100.2,74.6,87.1,72.5,71.7,0,0,0,,0,0,17.4,11.4,291.3,1007.3,71.2,4.7,206.4,17.9,9,10,2024-10-24T06:02:22,2024-10-24T17:40:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-25,93.2,73.7,83.6,100.9,73.7,88.2,71.7,68.6,0,0,0,,0,0,23,13.9,291.5,1007,40.4,5.5,244,20.9,9,10,2024-10-25T06:02:41,2024-10-25T17:40:11,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-26,94.9,78.1,85.9,103.1,78.1,91.3,72.1,64.7,0,0,0,,0,0,20.6,11.4,317.3,1006.9,37.4,6.6,226.3,19.5,8,10,2024-10-26T06:03:00,2024-10-26T17:39:40,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-27,94.8,77,84,102.6,77,87.5,71.6,68,0,0,0,,0,0,13.9,6.5,309.6,1006.5,32.3,5.8,225.6,19.4,9,10,2024-10-27T06:03:19,2024-10-27T17:39:09,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOBZ,43185099999,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-28,93.2,73.7,83.1,102.8,73.7,88.4,73.4,73.9,0,0,0,,0,0,7.2,5.8,195.6,1006.6,13.4,6.1,259.3,22.4,9,10,2024-10-28T06:03:39,2024-10-28T17:38:39,0.86,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-29,91.4,74,83.3,107.8,74,91.8,76.1,79.6,0.004,100,4.17,rain,0,0,10.5,5.8,159.7,1007.8,26.7,5.6,206.8,17.8,7,30,2024-10-29T06:04:00,2024-10-29T17:38:11,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-30,89.7,77,81.5,108.4,77,87.8,77.9,89.2,0.451,100,4.17,rain,0,0,23,11.4,129.4,1009,66.5,3.9,155.1,13.3,8,60,2024-10-30T06:04:21,2024-10-30T17:37:43,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-10-31,91.5,77,82.8,107.2,77,89.2,76.8,83.3,0.004,100,4.17,rain,0,0,12.1,6.9,86.9,1010.5,37.9,6.7,208.5,18,8,30,2024-10-31T06:04:43,2024-10-31T17:37:16,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-01,89.9,77,83,99.9,77,88.3,75.1,78.3,0,0,0,,0,0,11,6.9,96.1,1011.5,23.5,5.8,228.2,19.8,8,30,2024-11-01T06:05:05,2024-11-01T17:36:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-02,89.8,77.1,83.2,102.5,77.1,90.3,76.4,80.6,0,0,0,rain,0,0,12.5,6.9,136.4,1011.7,30.1,5,223.3,19.2,8,30,2024-11-02T06:05:28,2024-11-02T17:36:26,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-03,89.4,77.4,82.7,100.1,77.4,88.3,75.6,80,0,0,0,rain,0,0,16.1,11.4,80,1011.8,43.9,5.3,206.3,17.7,7,30,2024-11-03T06:05:52,2024-11-03T17:36:02,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-04,88.2,76.2,82.4,95.2,76.2,86.4,73.6,75.9,0,0,0,,0,0,15.7,10.3,91,1011.1,32.4,5.4,212.4,18.2,8,10,2024-11-04T06:06:16,2024-11-04T17:35:40,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-05,89.7,76.2,82,97.8,76.2,85.6,73.6,77.3,0,0,0,,0,0,11.4,6.9,112,1011.4,21.7,4.9,234.2,20.3,8,10,2024-11-05T06:06:40,2024-11-05T17:35:18,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-06,92.6,74.9,82.5,98.2,74.9,87.2,73.1,74.9,0,0,0,,0,0,13.2,11.4,50.5,1011.4,18,5.7,229,19.7,8,10,2024-11-06T06:07:06,2024-11-06T17:34:58,0.16,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-07,90.1,76.7,83.3,100.5,76.7,89.5,75.3,78,0.004,100,4.17,rain,0,0,16.3,6.9,61.1,1011.4,29,6,199.3,17.2,7,30,2024-11-07T06:07:32,2024-11-07T17:34:39,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-08,89.9,77.8,83.1,98.2,77.8,88.8,75.3,78.5,0,0,0,rain,0,0,14.8,10.3,89.8,1011.5,35.6,6,179.2,15.5,7,10,2024-11-08T06:07:58,2024-11-08T17:34:21,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-09,92.2,76,82.2,100.1,76,86.7,74.6,79,0,0,0,,0,0,17.4,6.9,70.1,1011.4,29,5.5,174.6,15,6,10,2024-11-09T06:08:25,2024-11-09T17:34:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-10,91.4,76.7,82.7,95.8,76.7,85.5,71.8,71.4,0.008,100,8.33,rain,0,0,15.4,6.9,36.7,1011.2,32,5.2,201.5,17.4,8,10,2024-11-10T06:08:53,2024-11-10T17:33:49,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-11,91.1,74.7,82.5,95,74.7,85.4,70.5,69,0,0,0,,0,0,16.8,6.9,27.4,1010.3,33,4.7,199.2,17.2,8,10,2024-11-11T06:09:21,2024-11-11T17:33:34,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-12,86,78.5,81.8,95.4,78.5,87.5,74.8,79.7,0.012,100,12.5,rain,0,0,19.7,9.2,66.8,1010.3,83.9,6.2,105.1,9.2,4,10,2024-11-12T06:09:49,2024-11-12T17:33:21,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-13,89.1,77.8,82,99.3,77.8,86.4,75.2,80.7,0.021,100,8.33,rain,0,0,19.5,11.4,71,1009.8,64.4,5.5,152.9,13.3,6,30,2024-11-13T06:10:19,2024-11-13T17:33:09,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-14,89.6,77,82.5,101,77,87.8,74.9,78.9,0.002,100,4.17,rain,0,0,20.4,13.9,74.8,1011.2,56.2,6.1,165.5,14.2,6,10,2024-11-14T06:10:48,2024-11-14T17:32:58,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-15,89.1,77.1,82,94.2,77.1,85.3,72.9,75.2,0,0,0,rain,0,0,18.6,11.4,88.5,1011.5,57.1,5.1,134.9,11.7,5,30,2024-11-15T06:11:18,2024-11-15T17:32:48,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-16,90.2,76.7,81.8,98.7,76.7,86.3,75.4,82,0,0,0,,0,0,15,6.9,69.8,1011,46.1,5.6,177.5,15.3,6,10,2024-11-16T06:11:49,2024-11-16T17:32:40,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-17,87.8,72.6,80.5,94.2,72.6,83,72.6,77.8,0,0,0,rain,0,0,16.1,7.2,67.8,1011.2,39.4,6.3,233.8,20.2,8,10,2024-11-17T06:12:20,2024-11-17T17:32:32,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-18,90.8,70.6,79.3,92.1,70.6,80.1,66.9,67.6,0,0,0,,0,0,17.2,11.4,75.5,1012,31.6,7.8,212.6,18.4,8,10,2024-11-18T06:12:52,2024-11-18T17:32:26,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43185099999,VOBZ,43220099999,remote"
vijayawada,2024-11-19,87.3,71.5,79.1,88.3,71.5,79.9,66.2,66.2,0,0,0,,0,0,14.1,6.9,76.4,1013.1,14.6,7.3,222.5,19.2,8,10,2024-11-19T06:13:24,2024-11-19T17:32:22,0.61,Clear,Clear conditions throughout the day.,clear-day,"VOBZ,remote"
vijayawada,2024-11-20,85.9,69.7,77.4,87.4,69.7,78,65.9,69.7,0,0,0,,0,0,15.4,9.2,89,1012.5,19.8,6.9,197.2,17,7,10,2024-11-20T06:13:56,2024-11-20T17:32:18,0.64,Clear,Clear conditions throughout the day.,clear-day,"VOBZ,remote"
vijayawada,2024-11-21,87.5,69.7,77.5,88.3,69.7,77.9,65.3,68.3,0,0,0,rain,0,0,13.2,6.9,92.7,1012.3,8.7,7.8,223.6,19.1,8,10,2024-11-21T06:14:29,2024-11-21T17:32:16,0.67,Clear,Clear conditions throughout the day.,clear-day,"VOBZ,remote"
vijayawada,2024-11-22,86.3,69.3,76.5,86,69.3,76.7,66.2,73.2,0,0,0,,0,0,6.7,6.9,69,1012,26.4,5,226.7,19.6,8,10,2024-11-22T06:15:02,2024-11-22T17:32:15,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-23,86.4,68.3,77.4,89.4,68.3,78.4,66.8,71.7,0,0,0,,0,0,11.9,6.9,21.8,1012.5,36.9,5.6,212.2,18.3,7,10,2024-11-23T06:15:36,2024-11-23T17:32:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-24,89,69.5,78.6,90.2,69.5,79.6,67.5,71.1,0,0,0,,0,0,15.4,5.8,74.2,1012.6,59.5,6.6,198.4,17.1,7,10,2024-11-24T06:16:09,2024-11-24T17:32:17,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-25,86,69.8,77.9,86.5,69.8,78.2,66.6,70.5,0,0,0,,0,0,16.3,6.9,52.6,1012.2,54.8,4.8,185.1,16,7,10,2024-11-25T06:16:43,2024-11-25T17:32:19,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-26,86,70.2,78.7,88.4,70.2,79.3,66,66.3,0,0,0,,0,0,18.6,10.3,46.6,1011.2,72.5,5.8,115,10,5,10,2024-11-26T06:17:18,2024-11-26T17:32:23,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-27,86,71.5,77.6,85,71.5,77.3,61.1,58.9,0,0,0,,0,0,17.4,11.4,49.9,1010.3,70.5,6.3,163.3,14.1,7,10,2024-11-27T06:17:52,2024-11-27T17:32:28,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-28,91.1,66.2,77.6,89.2,66.2,77.4,60.3,57.9,0,0,0,,0,0,20.1,10.3,14.4,1009.6,67.8,6,163.5,13.9,7,10,2024-11-28T06:18:27,2024-11-28T17:32:35,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-29,86.2,76.6,80.5,90.8,76.6,82,66.2,62.2,0.008,100,4.17,rain,0,0,20.8,11.4,23.2,1008.8,89.9,6,115.1,10,6,10,2024-11-29T06:19:02,2024-11-29T17:32:42,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-11-30,83.6,76.4,78.5,89.1,76.4,80,72.2,81.3,0.203,100,12.5,rain,0,0,28,15,37.5,1007.2,89.6,5.4,48,4.2,2,10,2024-11-30T06:19:37,2024-11-30T17:32:51,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-12-01,84.1,76,78.8,93.9,76,80.1,74.7,87.6,0.255,100,75,rain,0,0,27.7,16.1,62.3,1006.5,91.8,7.9,54.9,4.7,3,30,2024-12-01T06:20:12,2024-12-01T17:33:01,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,remote,43181099999"
vijayawada,2024-12-02,85.6,75.2,79.6,94.8,75.2,82.7,74.5,84.9,0.024,100,8.33,rain,0,0,22.1,15,72.6,1007.7,82,6.7,131.6,11.3,5,30,2024-12-02T06:20:48,2024-12-02T17:33:12,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOBZ,43185099999,43220099999,43182099999,remote,43181099999"
vijayawada,2024-12-03,84.2,75.5,80.2,91.4,75.5,83.4,74.2,82.5,0.023,100,8.33,rain,0,0,18.1,11.4,77.1,1010.5,68.9,6.4,135.8,11.8,5,10,2024-12-03T06:21:23,2024-12-03T17:33:24,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-12-04,89.6,75.4,81.1,100.2,75.4,85,74.5,81.4,0,0,0,rain,0,0,20.4,11.4,80.1,1010.8,35.8,4.7,160.6,13.7,6,30,2024-12-04T06:21:58,2024-12-04T17:33:38,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-12-05,89.6,75.5,81.5,96.4,75.5,84.5,73.1,77,0.002,100,4.17,rain,0,0,16.1,9.2,90.9,1011.4,39.8,5.2,119,10.3,6,10,2024-12-05T06:22:34,2024-12-05T17:33:52,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
vijayawada,2024-12-06,91.4,76.6,81.8,95.6,76.6,84.6,73.5,77.8,0,0,0,,0,0,12.3,6.9,90.3,1011.2,23.3,5.9,175.9,15.2,7,10,2024-12-06T06:23:09,2024-12-06T17:34:08,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
